"통계분류(1)",통계분류(2),2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2019,2019,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"통계분류(1)",통계분류(2),계,취미오락여행건강,경제 경영,철학 사상 종교,자기계발서,정치사회시사,역사 지리,가정육아요리,시소설수필,무협판타지추리소설,예술문화,재테크부동산,어학컴퓨터,과학 기술,기 타,사례수,계,취미오락여행건강,경제 경영,철학 사상 종교,자기계발서,정치사회시사,소설( 장르 소설 포함),역사 지리,가정육아요리,예술문화,재테크부동산,어학컴퓨터,문학도서,사례수,취미오락여행건강,경제 경영,철학 사상 종교,자기계발서,정치사회시사,소설( 장르 소설 포함),역사 지리,가정육아요리,예술문화,문학도서,사례수,계,취미오락여행건강,경제 경영,철학 사상 종교,자기계발서,정치사회시사,소설( 장르 소설 포함),어학 외국어,역사 지리,가정육아요리,예술문화,재테크부동산,문학도서,사례수,취미오락여행건강,경제 경영,철학 사상 종교,자기계발서,정치사회시사,소설( 장르 소설 포함),가정육아요리,문학도서,사례수,취미오락여행건강,경제 경영,수필,철학 사상 종교,시(동시),재테크,자기계발서,정치사회시사,소설( 장르 소설 포함),어학 외국어,역사 지리,가정육아요리,사례수,소설(동화 장르소설),취미오락여행건강,경제 경영,수필,철학 사상 종교,시(동시),재테크,자기계발서,과학기술컴퓨터,정치사회시사,기 타
"연령별",40대,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,352,34,8.3,11.7,7.9,8,6,9.6,3.8,1.1,2.9,6.7
"연령별",50~59세,100,21.1,8.3,11,4.9,7.8,2.7,7,22,4.7,3.2,5.7,0.7,0.6,0.3,238,100,12,8.2,14.8,4.8,6.3,7.6,2.1,5.3,3.6,5.9,0.9,27.1,595,12.4,6.4,12.5,7.4,3.5,11.2,2.7,5.1,3.3,30.6,621,100,11.8,8.2,11.7,8.2,6.2,10.8,1.2,5.1,4,4.2,2.5,24.6,518,12.8,7,11.6,8.9,4.7,11.9,2.8,29.4,397,7.8,8.8,13.6,8,3.3,9.8,5.4,7,24.3,1.6,4,3.7,-,-,-,-,-,-,-,-,-,-,-,-
"연령별",50대,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,321,30.4,12.9,10.6,7.4,9.4,5.3,6,3.6,3.4,2.8,8.2
"연령별",60대,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,100,16.7,5.7,22.1,4,4.5,7.5,4,4.1,2.5,3.2,0.2,24.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연령별",60세 이상,100,26.4,4.9,16.4,7.2,7,4.3,6.4,17.5,2.2,3.9,2.3,0,0.4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,421,10.8,6.1,20.8,5.7,5.9,7,6.3,3,4.1,25.4,693,100,12.8,5.9,21.4,7.9,5.9,8.8,0.3,4.6,3.1,3.3,2,22.8,495,12.3,6.2,24,5,3.9,8.6,2.1,27.6,392,9.1,4.4,12.3,22.8,6.8,3,4.2,7.8,16.5,0.2,7,2.9,-,-,-,-,-,-,-,-,-,-,-,-
"연령별",60대 이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220,25.8,12.1,5.9,7.9,16.3,13.4,2.3,1.1,1.4,7.5,6.3
"학력별",중졸 이하,100,25,3.3,13.3,7.8,4.6,1.8,9.2,21.6,2.6,6,2.7,0.6,0.6,0.8,96,100,18,5.8,19.5,4,1.9,8.9,2.9,6.8,3,4,0.3,23.9,279,13.2,5.8,18.7,6.2,3.6,7.2,4.5,4.7,3.8,27.5,443,100,12.1,5.1,22.6,7.8,5.7,8.7,0.3,4.7,3.8,3.3,2.2,22.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,9.3,22.7,0,2.7,13.1,22.5,5.4,7.2,3.6,8.4,5.3
"학력별",고졸,100,23.9,5.6,8.5,5.8,5.2,2.3,8.1,24,7.3,3.3,4.5,0.6,0.8,0.1,496,100,13.5,6.1,13.3,6.6,3.8,9.6,3,7.1,3.4,3.5,1,28.3,1179,12.9,6.4,11,7.8,3.5,12.9,3.5,6.1,3.2,27.7,1045,100,12.2,7.3,10.6,8.1,4.2,13.2,1.6,3.6,5.7,4.2,3,24.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"학력별",고졸 고퇴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,352,26.1,11.7,8.9,8.1,15.8,5.9,5.2,4.3,1.6,4.7,7.6
"학력별",대재 이상,100,14.6,6.3,7.8,8.4,6.4,3.1,4,28.2,10.5,3.8,3.6,2.2,0.9,0.1,846,100,10.7,8.1,8.7,11.5,4.2,10.7,2.9,5.7,3.9,3.1,3.2,26,1809,10.4,7.2,7.9,10.2,4.2,13.5,3.6,5.2,4.1,26.5,2104,100,10,8.3,7.7,10,4.8,13.8,3.7,3.8,5.5,4.1,2.8,23.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1221,33.7,9.4,10.7,8.2,5.3,6.1,5.5,5.4,3.6,2.4,9.7
