순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
220,국내도서,지박소년 하나코 군 19 (특장판),317848865 ,,,"아이다이로 지음, 장혜영 옮김",서울미디어코믹스(서울문화사),20230630,"6,000","5,400",300점,2991,만화
221,국내도서,흔한남매 과학 탐험대 8 : 생물 2,320267178 ,9788934979814 ,77400,"김덕영 그림, 김언정 외 글, 권경아 감수, 김희목 외 기획, 흔한남매 원작",주니어김영사,20230707,"14,800","13,320",740점,8606,어린이
222,국내도서,최애의 아이 7,297677314 ,9791169184151 ,,"아카사카 아카 지음, 요코야리 멘고 그림",대원씨아이(만화),20220727,"6,000","5,400",300점,6367,만화
223,국내도서,고통의 비밀,304405011 ,9791192389059 ,3510,"몬티 라이먼 지음, 박선영 옮김",상상스퀘어,20221109,"17,800","16,020",890점,5629,건강/취미
224,국내도서,명탐정 코난 103,319096062 ,9791136769367 ,,아오야마 고쇼 지음,서울미디어코믹스(서울문화사),20230619,"6,000","5,400",300점,6275,만화
225,국내도서,블루 아카이브 오피셜 아트웍스,319151081 ,9791141109325 ,,"신민섭 옮김, NEXON GAMES 감수",학산문화사(만화),20230825,"43,000","38,700","2,150점",4757,만화
226,국내도서,사람을 얻는 지혜 (국내 최초 스페인어 완역본),303759390 ,9791139708967 ,3840,"발타자르 그라시안 지음, 김유경 옮김",현대지성,20221028,"12,000","10,800",600점,10561,자기계발
227,국내도서,최애의 아이 8,303415611 ,9791169441537 ,,"아카사카 아카 지음, 요코야리 멘고 그림",대원씨아이(만화),20221019,"6,000","5,400",300점,5634,만화
228,국내도서,최애의 아이 6,292682625 ,9791168943506 ,,"아카사카 아카 지음, 요코야리 멘고 그림",대원씨아이(만화),20220429,"6,000","5,400",300점,6360,만화
229,국내도서,최애의 아이 12,326931149 ,9791171244713 ,,"아카사카 아카 지음, 요코야리 멘고 그림",대원씨아이(만화),20231031,"6,000","5,400",300점,8010,만화
230,국내도서,키득키득 사운드북 : 동물 오케스트라,234017729 ,8809264181478 ,1,"샘 태플린 지음, 가레스 루카스 그림, 앤서니 마크스 음악",어스본코리아,20200225,"15,800","12,640",470점,22643,유아
231,국내도서,삐뽀삐뽀 119 이유식,124853398 ,9791195795529 ,3590,하정훈 지음,유니책방,20171201,"18,900","17,010",940점,32864,좋은부모
232,국내도서,생기부 필독서 100,363211723 ,9791166571985 ,13370,주경아 외 지음,센시오,20250512,"22,000","19,800","1,100점",1940,청소년
233,국내도서,몰입 합본판 (100쇄 기념 합본 에디션),247064966 ,9788925556284 ,3320,황농문 지음,알에이치코리아(RHK),20200729,"40,000","36,000","2,000점",7799,자기계발
234,국내도서,백년운동,216483172 ,9791196834005 ,3470,정선근 지음,아티잔,20191101,"19,500","17,550",970점,39732,건강/취미
235,국내도서,위기의 역사,320426251 ,9791169850360 ,3320,"오건영 지음, 안병현 그림",페이지2(page2),20230719,"28,000","25,200","1,400점",7960,경제경영
236,국내도서,밝은 밤,275419192 ,9788954681179 ,3810,최은영 지음,문학동네,20210727,"15,500","13,950",770점,47366,소설/시/희곡
