title,isbn,writer,publisher,Pub_date,re_price,sa_price,genre
자유론 (무삭제 완역본),9791187142447.0,"존 스튜어트 밀 지음, 박문재 옮김",현대지성,20180601.0,"8,800","7,920",인문학
파친코 1,9791168340510.0,"이민진 지음, 신승미 옮김",인플루엔셜(주),20220727.0,"15,800","14,220",소설/시/희곡
자기 앞의 생,9788982816635.0,"에밀 아자르 지음, 용경식 옮김",문학동네,20030506.0,"16,000","14,400",소설/시/희곡
미키7,9791170521730.0,"에드워드 애슈턴 지음, 배지혜 옮김",황금가지,20220722.0,"17,000","15,300",소설/시/희곡
지적 대화를 위한 넓고 얕은 지식 2,9791190313193.0,채사장 지음,웨일북,20200201.0,"19,000","17,100",인문학
미키7 완전판 세트 - 전2권,9791170523383.0,"에드워드 애슈턴 지음, 진서희 옮김",황금가지,20231117.0,"27,000","24,300",소설/시/희곡
오늘의 일인분 일식,9791188601233.0,"베터홈 협회 지음, 이진숙 옮김",참돌,20190617.0,"4,400","3,960",요리/살림
도둑맞은 집중력,9791167740984.0,"요한 하리 지음, 김하현 옮김",어크로스,20230428.0,"18,800","16,920",인문학
오십에 읽는 주역,9791192300917.0,강기진 지음,유노북스,20231031.0,"17,000","15,300",인문학
파친코 2,9791168340541.0,"이민진 지음, 신승미 옮김",인플루엔셜(주),20220825.0,"15,800","14,220",소설/시/희곡
세이노의 가르침 (화이트 에디션),9791168473690.0,세이노(SayNo) 지음,데이원,20230302.0,"7,200","6,480",자기계발
세이노의 가르침 (블랙 에디션),9791168473690.0,세이노(SayNo) 지음,데이원,20230302.0,"7,200","6,480",자기계발
전설로 떠나는 월가의 영웅,9788957825945.0,"피터 린치.존 로스차일드 지음, 이건 옮김, 홍진채 감수",국일증권경제연구소,20210730.0,"26,000","23,400",경제경영
쓸 만한 인간,9791189856502.0,박정민 지음,상상출판,20190902.0,"14,200","12,780",에세이
최소한의 한국사,9791198243430.0,최태성 지음,프런트페이지,20230621.0,"18,000","16,200",역사
리틀 라이프 1,9788952776372.0,"한야 야나기하라 지음, 권진아 옮김",시공사,20160616.0,"14,800","13,320",소설/시/희곡
지적 대화를 위한 넓고 얕은 지식 : 제로 편,9791190313131.0,채사장 지음,웨일북,20191224.0,"23,000","20,700",인문학
내가 본 미래,9791193070031.0,"타츠키 료 지음, 전경아 옮김",도토리,20231031.0,"13,300","11,970",만화
거꾸로 읽는 세계사,9791191438406.0,유시민 지음,돌베개,20211029.0,"17,500","15,750",역사
생각에 관한 생각,9788934981213.0,"대니얼 카너먼 지음, 이창신 옮김",김영사,20180330.0,"29,800","26,820",경제경영
