순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
1,국내도서,조국의 시간,272354602 ,9788935668663 ,3340,조국 지음,한길사,20210531,"17,000","15,300",850점,36334,사회과학
2,국내도서,달러구트 꿈 백화점,245127051 ,9791165341909 ,3810,이미예 지음,팩토리나인,20200708,"13,800","12,420",690점,78871,소설/시/희곡
3,국내도서,달러구트 꿈 백화점 2,275874708 ,9791165343729 ,3810,이미예 지음,팩토리나인,20210727,"13,800","12,420",690점,39791,소설/시/희곡
4,국내도서,주린이가 가장 알고 싶은 최다질문 TOP 77,260041417 ,9791160023176 ,3320,염승환 지음,메이트북스,20210120,"18,000","16,200",900점,22879,경제경영
5,국내도서,해커스 토익 기출 VOCA (보카),176021392 ,9788965422785 ,13740,David Cho 지음,해커스어학연구소(Hackers),20240819,"12,900","11,610",640점,220167,외국어
6,국내도서,완전한 행복,272252933 ,9791167370280 ,3810,정유정 지음,은행나무,20210608,"17,800","16,020",890점,28011,소설/시/희곡
7,국내도서,2030 축의 전환,253833337 ,9788901246086 ,3320,"마우로 기옌 지음, 우진하 옮김",리더스북,20201016,"18,000","16,200",900점,20960,경제경영
8,국내도서,소크라테스 익스프레스,270253933 ,9791190030922 ,3100,"에릭 와이너 지음, 김하현 옮김",어크로스,20210428,"18,000","16,200",900점,34713,인문학
9,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 2 Reading (리딩),220060490 ,9788917232196 ,14740,ETS 엮음,(주)YBM(와이비엠),20191216,"17,800","16,020",890점,41432,외국어
10,국내도서,공정하다는 착각,254700620 ,9791164136452 ,3300,"마이클 샌델 지음, 함규진 옮김",와이즈베리,20201201,"18,000","16,200",900점,55712,사회과학
11,국내도서,2021 제12회 젊은작가상 수상작품집,268552539 ,9788954678407 ,3810,전하영 외 지음,문학동네,20210407,"14,000","12,600",700점,16508,소설/시/희곡
12,국내도서,어떻게 말해줘야 할까,253133041 ,9788934986652 ,13590,"오은영 지음, 차상미 그림",김영사,20201025,"19,800","17,820",990점,47557,좋은부모
13,국내도서,어린이라는 세계,255097575 ,9791160946918 ,3810,김소영 지음,사계절,20201116,"15,000","13,500",750점,43107,에세이
14,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 2 Listening (리스닝),220056418 ,9788917232189 ,13740,ETS 엮음,(주)YBM(와이비엠),20191216,"17,800","16,020",890점,38008,외국어
15,국내도서,트렌드 코리아 2022,279711074 ,9788959897001 ,13320,김난도 외 지음,미래의창,20211006,"18,000","16,200",900점,19999,경제경영
16,국내도서,긴긴밤,263027170 ,9788954677158 ,73810,루리 지음,문학동네,20210203,"12,500","11,250",620점,139181,어린이
17,국내도서,지구 끝의 온실,276926308 ,9791191824001 ,3810,김초엽 지음,자이언트북스,20210818,"15,000","13,500",750점,41730,소설/시/희곡
18,국내도서,거꾸로 읽는 세계사,281820039 ,9791191438406 ,3900,유시민 지음,돌베개,20211029,"17,500","15,750",870점,41123,역사
19,국내도서,모래알만 한 진실이라도,259644497 ,9788933871553 ,3810,박완서 지음,세계사,20201207,"17,000","15,300",850점,15850,에세이
20,국내도서,돈의 심리학,259678547 ,9791191056372 ,3320,"모건 하우절 지음, 이지연 옮김",인플루엔셜(주),20210113,"19,800","17,820",990점,10236,경제경영
21,국내도서,불편한 편의점,269428498 ,9791161571188 ,3810,김호연 지음,나무옆의자,20210420,"14,000","12,600",700점,20121,소설/시/희곡
22,국내도서,파친코 1,294963999 ,9791168340510 ,4840,"이민진 지음, 신승미 옮김",인플루엔셜(주),20220727,"15,800","14,220",790점,40326,소설/시/희곡
23,국내도서,오은영의 화해,176785084 ,9788997396870 ,3180,오은영 지음,코리아닷컴(Korea.com),20190110,"16,000","14,400",800점,16386,자기계발
24,국내도서,햇빛은 찬란하고 인생은 귀하니까요,276919144 ,9788934985051 ,3810,장명숙 지음,김영사,20210818,"14,800","13,320",740점,14903,에세이
25,국내도서,부의 시나리오,272169233 ,9791190977265 ,3320,오건영 지음,페이지2(page2),20210607,"18,000","16,200",900점,13519,경제경영
26,국내도서,파친코 2,294964187 ,9791168340541 ,4840,"이민진 지음, 신승미 옮김",인플루엔셜(주),20220825,"15,800","14,220",790점,37871,소설/시/희곡
27,국내도서,흔한남매 7,265563668 ,9791164137527 ,77810,"흔한남매 원작, 유난희 그림, 백난도 글, 흔한컴퍼니 감수",미래엔아이세움,20210311,"12,000","10,800",600점,13591,어린이
28,국내도서,애린 왕자,260168948 ,9791197182204 ,,"앙투안 드 생텍쥐페리 저자, 최현애 역자",이팝,20210105,"11,000","9,900",550점,17963,소설/시/희곡
29,국내도서,부자 아빠 가난한 아빠 1 (20주년 특별 기념판),134925661 ,9791158883591 ,3320,"로버트 기요사키 지음, 안진환 옮김",민음인,20180222,"17,000","15,300",850점,65210,경제경영
30,국내도서,흔한남매 8,274568125 ,9791164138197 ,77810,"흔한남매 원작, 유난희 그림, 백난도 글, 흔한컴퍼니 감수",미래엔아이세움,20210714,"13,500","12,150",670점,13746,어린이
31,국내도서,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",274077938 ,9791191043297 ,3830,"이치조 미사키 지음, 권영주 옮김",모모,20210621,"14,000","12,600",700점,41191,소설/시/희곡
32,국내도서,아몬드 (양장),105651245 ,9788936434267 ,3810,손원평 지음,창비,20170331,"14,000","12,600",700점,32398,소설/시/희곡
33,국내도서,매매의 기술,271352572 ,9791191347180 ,3320,박병창 지음,포레스트북스,20210514,"18,000","16,200",900점,9884,경제경영
34,국내도서,해커스 토익 RC Reading(리딩) 기본서,306403048 ,9788965424765 ,13740,David Cho 지음,해커스어학연구소(Hackers),20240819,"18,800","16,920",940점,62539,외국어
35,국내도서,방금 떠나온 세계,281702287 ,9791160406504 ,3810,김초엽 지음,한겨레출판,20211020,"15,000","13,500",750점,9896,소설/시/희곡
36,국내도서,우리가 빛의 속도로 갈 수 없다면,193591681 ,9791190090018 ,3810,김초엽 지음,허블,20190624,"17,000","15,300",850점,62500,소설/시/희곡
37,국내도서,돈의 속성 (150쇄 기념 에디션),254113429 ,9791188331796 ,3320,김승호 지음,스노우폭스북스,20200615,"16,800","15,120",840점,29062,경제경영
38,국내도서,2025 주택과 세금,363877449 ,9791163060987 ,13320,국세청 부동산납세과 지음,동원피엔지,20250411,"7,000","7,000",0점,3220,경제경영
39,국내도서,그냥 하지 말라,280071727 ,9791191211467 ,3320,송길영 지음,북스톤,20211005,"17,000","15,300",850점,13110,경제경영
40,국내도서,인간 실격,491611 ,9788937461033 ,4830,"다자이 오사무 지음, 김춘미 옮김",민음사,20040515,"9,000","8,100",450점,75949,소설/시/희곡
41,국내도서,그러라 그래 (양장),269134980 ,9788934984979 ,3810,양희은 지음,김영사,20210412,"14,500","13,050",720점,9402,에세이
42,국내도서,지구인만큼 지구를 사랑할 순 없어,273184671 ,9791191583793 ,3810,정세랑 지음,위즈덤하우스,20210610,"16,800","15,120",840점,9232,에세이
43,국내도서,코스모스,870950 ,9788983711892 ,3400,"칼 세이건 지음, 홍승수 옮김",사이언스북스,20061220,"19,900","17,910",990점,140244,과학
44,국내도서,귀멸의 칼날 22,262541927 ,9791134875046 ,,고토게 코요하루 지음,학산문화사(만화),20210128,"5,000","4,500",250점,7346,만화
45,국내도서,수학 잘하는 아이는 이렇게 공부합니다,305911631 ,9791196848194 ,3370,류승재 지음,블루무스,20221209,"16,800","15,120",840점,11562,좋은부모
46,국내도서,우리말 어감 사전,270323652 ,9791189683887 ,3710,안상순 지음,유유,20210504,"17,000","15,300",850점,12689,인문학
47,국내도서,설민석의 한국사 대모험 16,309889816 ,9791191496895 ,74910,"설민석.스토리박스 지음, 정현희 그림, 태건 역사 연구소 감수",단꿈아이,20230125,"13,000","11,700",650점,8326,어린이
48,국내도서,하이큐!! 파이널 가이드북 배구극!,276918514 ,9791136273116 ,7830,후루다테 하루이치 지음,대원씨아이(만화),20210804,"12,000","10,800",600점,10225,만화
49,국내도서,푸른 사자 와니니 3,259678494 ,9788936443160 ,73810,"이현 지음, 오윤화 그림",창비,20210219,"12,000","10,800",600점,13588,어린이
50,국내도서,귀멸의 칼날 23,294677380 ,9791168764446 ,,고토게 코요하루 지음,학산문화사(만화),20210421,"6,000","5,400",300점,3528,만화
51,국내도서,양순이네 떡집,277948544 ,9788949162102 ,74800,"김리리 지음, 김이랑 그림",비룡소,20210816,"13,000","11,700",650점,11453,어린이
52,국내도서,주린이도 술술 읽는 친절한 주식책,249297227 ,9791160022988 ,3320,최정희.이슬기 지음,메이트북스,20200901,"15,000","13,500",750점,14230,경제경영
53,국내도서,주술회전 15,270740737 ,9791136734495 ,,"아쿠타미 게게 지음, 이정운 옮김",서울미디어코믹스(서울문화사),20210525,"5,000","4,500",250점,7549,만화
54,국내도서,나는 강물처럼 말해요,260556304 ,9791158362157 ,77840,"조던 스콧 지음, 시드니 스미스 그림, 김지은 옮김",책읽는곰,20210115,"13,000","11,700",650점,15867,유아
55,국내도서,주식투자 무작정 따라하기,309337377 ,9791140702343 ,13320,윤재수 지음,길벗,20230130,"23,000","20,700","1,150점",16355,경제경영
56,국내도서,주술회전 공식 팬북,280840739 ,9791136745118 ,,"아쿠타미 게게 지음, 이정운 옮김",서울미디어코믹스(서울문화사),20211029,"10,000","9,000",500점,11137,만화
57,국내도서,마음챙김의 시,251080776 ,9791190382267 ,3810,류시화 엮음,수오서재,20200917,"13,000","11,700",650점,35345,소설/시/희곡
58,국내도서,웰씽킹 WEALTHINKING (양장),282733777 ,9791130677774 ,3190,켈리 최 지음,다산북스,20211110,"18,000","16,200",900점,25926,자기계발
59,국내도서,설민석의 한국사 대모험 17,309889062 ,9791191496901 ,74910,"설민석.스토리박스 지음, 정현희 그림, 김영미 감수",단꿈아이,20230125,"13,000","11,700",650점,8529,어린이
60,국내도서,죽음의 수용소에서,242120194 ,9788936811549 ,3180,"빅터 프랭클 지음, 이시형 옮김",청아출판사,20200530,"9,800","8,820",490점,65565,인문학
61,국내도서,해커스 토익 LC Listening(리스닝) 기본서,306405534 ,9788965424772 ,13740,David Cho 지음,해커스어학연구소(Hackers),20240819,"18,800","16,920",940점,48750,외국어
62,국내도서,부의 추월차선 (10주년 스페셜 에디션),287238196 ,9791187444725 ,13320,"엠제이 드마코 지음, 신소영 옮김",토트,20220204,"17,500","15,750",870점,37592,경제경영
63,국내도서,공간의 미래,269150989 ,9788932474427 ,3540,유현준 지음,을유문화사,20210425,"16,000","14,400",800점,10904,인문학
64,국내도서,돈의 역사는 되풀이된다,273107886 ,9791191393163 ,3320,홍춘욱 지음,포르체,20210616,"18,000","16,200",900점,7043,경제경영
65,국내도서,다정한 것이 살아남는다,276088365 ,9791197413025 ,3400,"브라이언 헤어.버네사 우즈 지음, 이민아 옮김, 박한선 감수",디플롯,20210726,"22,000","19,800","1,100점",35261,과학
66,국내도서,이상한 과자 가게 전천당 10,266021008 ,9791164063581 ,74830,"히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김",길벗스쿨,20210308,"12,000","10,800",600점,6826,어린이
67,국내도서,푸른 사자 와니니,62323112 ,9788936442804 ,73810,"이현 지음, 오윤화 그림",창비,20150625,"12,000","10,800",600점,52185,어린이
68,국내도서,해커스 토익 스타트 RC Reading (리딩) 입문서,222363085 ,9788965423379 ,13740,David Cho 지음,해커스어학연구소(Hackers),20250407,"14,900","13,410",740점,42726,외국어
69,국내도서,원피스 100,283685224 ,9791136289001 ,,오다 에이치로 지음,대원씨아이(만화),20211130,"5,500","4,950",270점,10626,만화
70,국내도서,호랑이를 덫에 가두면,269644239 ,9791191438024 ,44840,"태 켈러 지음, 강나은 옮김",돌베개,20210426,"13,800","12,420",690점,9980,어린이
