순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
1,국내도서,불편한 편의점 (벚꽃 에디션),290457417 ,9791161571188 ,3810,김호연 지음,나무옆의자,20210420,"14,000","12,600",700점,171637,소설/시/희곡
2,국내도서,하얼빈,298570092 ,9788954699914 ,3810,김훈 지음,문학동네,20220803,"16,000","14,400",800점,30592,소설/시/희곡
3,국내도서,헤어질 결심 각본,298203316 ,9788932474755 ,3680,박찬욱.정서경 지음,을유문화사,20220805,"15,000","13,500",750점,28128,예술/대중문화
4,국내도서,아버지의 해방일지,300485187 ,9788936438838 ,3810,정지아 지음,창비,20220902,"15,000","13,500",750점,57954,소설/시/희곡
5,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),284153629 ,9788917238549 ,13740,ETS 엮음,(주)YBM(와이비엠),20211213,"17,800","16,020",890점,57725,외국어
6,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝),284153150 ,9788917238532 ,13740,ETS 엮음,(주)YBM(와이비엠),20211213,"17,800","16,020",890점,53233,외국어
7,국내도서,해커스 토익 기출 VOCA (보카),176021392 ,9788965422785 ,13740,David Cho 지음,해커스어학연구소(Hackers),20240819,"12,900","11,610",640점,220167,외국어
8,국내도서,작별인사,292816855 ,9791191114225 ,3810,김영하 지음,복복서가,20220502,"14,000","12,600",700점,29922,소설/시/희곡
9,국내도서,역행자 확장판,317300995 ,9788901272580 ,3320,자청 지음,웅진지식하우스,20230529,"19,500","17,550",970점,45403,자기계발
10,국내도서,트렌드 코리아 2023,301692224 ,9788959897094 ,13320,김난도 외 지음,미래의창,20221005,"19,000","17,100",950점,22289,경제경영
11,국내도서,이어령의 마지막 수업,282121049 ,9791170400523 ,3100,"김지수 지음, 이어령",열림원,20211027,"16,500","14,850",820점,26435,인문학
12,국내도서,파친코 1,294963999 ,9791168340510 ,4840,"이민진 지음, 신승미 옮김",인플루엔셜(주),20220727,"15,800","14,220",790점,40326,소설/시/희곡
13,국내도서,파친코 2,294964187 ,9791168340541 ,4840,"이민진 지음, 신승미 옮김",인플루엔셜(주),20220825,"15,800","14,220",790점,37871,소설/시/희곡
14,국내도서,긴긴밤,263027170 ,9788954677158 ,73810,루리 지음,문학동네,20210203,"12,500","11,250",620점,139181,어린이
15,국내도서,부자 아빠 가난한 아빠 1 (20주년 특별 기념판),134925661 ,9791158883591 ,3320,"로버트 기요사키 지음, 안진환 옮김",민음인,20180222,"17,000","15,300",850점,65210,경제경영
16,국내도서,가불 선진국,291028755 ,9791157062560 ,3330,조국 지음,메디치미디어,20220325,"16,000","14,400",800점,10659,사회과학
17,국내도서,2022 제13회 젊은작가상 수상작품집,292067158 ,9788954685887 ,3810,임솔아 외 지음,문학동네,20220408,"14,000","12,600",700점,10415,소설/시/희곡
18,국내도서,인생의 역사,303286149 ,9791191859379 ,3810,신형철 지음,난다,20221031,"18,000","16,200",900점,27683,에세이
19,국내도서,세상의 마지막 기차역,294425135 ,9791191043754 ,3830,"무라세 다케시 지음, 김지연 옮김",모모,20220511,"14,000","12,600",700점,9952,소설/시/희곡
20,국내도서,"돈, 뜨겁게 사랑하고 차갑게 다루어라",324898598 ,9791192519883 ,3320,"앙드레 코스톨라니 지음, 한윤진 옮김",미래의창,20230912,"15,000","13,500",750점,42242,경제경영
21,국내도서,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",274077938 ,9791191043297 ,3830,"이치조 미사키 지음, 권영주 옮김",모모,20210621,"14,000","12,600",700점,41191,소설/시/희곡
22,국내도서,계속 가보겠습니다,297926520 ,9791157062645 ,3330,임은정 지음,메디치미디어,20220722,"18,000","16,200",900점,13231,사회과학
23,국내도서,데일 카네기 자기관리론,260572840 ,9791191280333 ,3320,"데일 카네기 지음, 임상훈 옮김",현대지성,20210113,"11,500","10,350",570점,41928,자기계발
24,국내도서,거의 모든 행동 표현의 영어,290210397 ,9788960499379 ,14740,서영조 지음,사람in,20220310,"20,000","18,000","1,000점",14952,외국어
25,국내도서,원씽 The One Thing (리커버 특별판),120812491 ,9788997575169 ,"13190
","게리 켈러 & 제이 파파산 지음, 구세희 옮김",비즈니스북스,20130820,"14,000","12,600",700점,32323,자기계발
26,국내도서,웰씽킹 WEALTHINKING (양장),282733777 ,9791130677774 ,3190,켈리 최 지음,다산북스,20211110,"18,000","16,200",900점,25926,자기계발
27,국내도서,데뷔 못 하면 죽는 병 걸림 1부 초판 한정 굿즈박스 세트,301045967 ,9791140410552 ,,백덕수 지음,위시북스(KW북스),20221208,"95,000","85,500","4,750점",7733,소설/시/희곡
28,국내도서,최재천의 공부,294454038 ,9788934943457 ,3100,최재천.안희경 지음,김영사,20220518,"16,500","14,850",820점,17754,인문학
29,국내도서,데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),209457983 ,9791187142560 ,3320,"데일 카네기 지음, 임상훈 옮김",현대지성,20191007,"11,500","10,350",570점,78221,자기계발
30,국내도서,"어서 오세요, 휴남동 서점입니다",286859586 ,9791197377143 ,3810,황보름 지음,클레이하우스,20220117,"15,000","13,500",750점,15245,소설/시/희곡
31,국내도서,부의 추월차선 (10주년 스페셜 에디션),287238196 ,9791187444725 ,13320,"엠제이 드마코 지음, 신소영 옮김",토트,20220204,"17,500","15,750",870점,37592,경제경영
32,국내도서,윤석열 X파일,287307541 ,9791197747618 ,3340,열린공감TV 취재팀 지음,열린공감TV,20220204,"16,000","14,400",800점,7601,사회과학
33,국내도서,진짜 쓰는 실무 엑셀,288198356 ,9791191600704 ,13000,오빠두(전진권) 지음,제이펍,20220215,"21,000","18,900","1,050점",74318,컴퓨터/모바일
34,국내도서,여학교의 별 1,286633169 ,9788954684316 ,7830,"와야마 야마 지음, 현승희 옮김",문학동네,20220131,"8,500","7,650",420점,20252,만화
35,국내도서,여학교의 별 2,293054296 ,9788954685825 ,7830,"와야마 야마 지음, 현승희 옮김",문학동네,20220505,"8,500","7,650",420점,19781,만화
36,국내도서,나는 오래된 거리처럼 너를 사랑하고,300364309 ,9788932040448 ,3810,진은영 지음,문학과지성사,20220831,"12,000","10,800",600점,22789,소설/시/희곡
37,국내도서,이토록 평범한 미래,302118006 ,9788954680004 ,3810,김연수 지음,문학동네,20221007,"14,000","12,600",700점,18908,소설/시/희곡
38,국내도서,가라오케 가자!,292511593 ,9788954685696 ,7830,"와야마 야마 지음, 현승희 옮김",문학동네,20220414,"8,500","7,650",420점,19184,만화
39,국내도서,흔한남매 10,292869921 ,9791168411685 ,77810,"흔한남매 지음, 유난희 그림, 백난도 글, 흔한컴퍼니 감수",미래엔아이세움,20220428,"13,500","12,150",670점,11049,어린이
40,국내도서,고양이 해결사 깜냥 4,286120931 ,9788936448134 ,74810,"홍민정 지음, 김재희 그림",창비,20220121,"12,000","10,800",600점,16130,어린이
41,국내도서,저주토끼,314843468 ,9791168340947 ,3810,정보라 지음,래빗홀,20230413,"15,800","14,220",790점,13970,소설/시/희곡
42,국내도서,그 해 우리는 1,286778297 ,9788934952312 ,4810,이나은 지음,김영사,20220216,"18,500","16,650",920점,7370,예술/대중문화
43,국내도서,그 해 우리는 2,286778398 ,9788934952329 ,4810,이나은 지음,김영사,20220216,"18,500","16,650",920점,7209,예술/대중문화
44,국내도서,지구 끝의 온실,276926308 ,9791191824001 ,3810,김초엽 지음,자이언트북스,20210818,"15,000","13,500",750점,41730,소설/시/희곡
45,국내도서,만일 내가 인생을 다시 산다면,303969458 ,9791190538510 ,3180,김혜남 지음,메이븐,20221111,"17,200","15,480",860점,18251,인문학
46,국내도서,그리움은 아무에게나 생기지 않습니다,285304639 ,9791196661984 ,3300,박근혜 지음,가로세로연구소,20211230,"15,000","13,500",750점,11212,사회과학
47,국내도서,기분을 관리하면 인생이 관리된다,292069347 ,9791196617127 ,13810,김다슬 지음,클라우디아,20220412,"17,600","15,840",880점,10982,에세이
48,국내도서,흔한남매 12,305184146 ,9791168414471 ,77810,"흔한남매 지음, 유난희 그림, 백난도 글, 흔한컴퍼니 감수",미래엔아이세움,20221130,"14,500","13,050",720점,13486,어린이
49,국내도서,조국의 법고전 산책,304555964 ,9788997780518 ,3100,조국 지음,오마이북,20221109,"22,000","19,800","1,100점",13121,인문학
50,국내도서,나의 아저씨 1~2 세트 - 전2권,289991840 ,9788933871751 ,4810,박해영 지음,세계사,20220315,"55,000","49,500","2,750점",10890,예술/대중문화
51,국내도서,유럽 도시 기행 2,296896486 ,9788965137702 ,3900,유시민 지음,생각의길,20220709,"17,500","15,750",870점,11564,인문학
52,국내도서,거꾸로 읽는 세계사,281820039 ,9791191438406 ,3900,유시민 지음,돌베개,20211029,"17,500","15,750",870점,41123,역사
53,국내도서,너무 잘하려고 애쓰지 마라,295665964 ,9791170400608 ,3810,나태주 지음,열림원,20220531,"14,000","12,600",700점,18854,소설/시/희곡
54,국내도서,그릿 GRIT (골드 에디션),306575678 ,9791162540633 ,3190,"앤절라 더크워스 지음, 김미정 옮김",비즈니스북스,20221215,"18,000","16,200",900점,64536,자기계발
55,국내도서,연이와 버들 도령,344553753 ,9791198610669 ,77810,백희나 지음,Storybowl(스토리보울),20240808,"18,000","16,200",900점,2066,유아
56,국내도서,오은영의 화해 (리커버),289803563 ,9788997396870 ,3810,오은영 지음,코리아닷컴(Korea.com),20190110,"16,000","14,400",800점,29089,자기계발
57,국내도서,흔한남매 11,298327426 ,9791168412477 ,77810,"흔한남매 지음, 유난희 그림, 백난도 글, 흔한컴퍼니 감수",미래엔아이세움,20220728,"14,500","13,050",720점,10558,어린이
58,국내도서,"돈의 속성 (300쇄 리커버 에디션, 양장)",288845971 ,9791188331796 ,3320,김승호 지음,스노우폭스북스,20200615,"17,800","16,020",890점,83481,경제경영
59,국내도서,사피엔스 (무선본),56868780 ,9788934972464 ,3900,"유발 하라리 지음, 조현욱 옮김, 이태수 감수",김영사,20151123,"22,000","19,800","1,100점",78870,인문학
60,국내도서,불편한 편의점 2 (단풍 에디션),303706448 ,9791161571379 ,3810,김호연 지음,나무옆의자,20220810,"14,000","12,600",700점,46859,소설/시/희곡
61,국내도서,이상한 과자 가게 전천당 13,286899510 ,9791164064281 ,74830,"히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김",길벗스쿨,20220124,"12,000","10,800",600점,6482,어린이
62,국내도서,"주술회전 19 (초판한정 캐릭터 일러스트 카드 + 선착순 한정 옷코츠 유타,젠인 마키 학생증 포함 특장판)",296517936 ,,,"아쿠타미 게게 지음, 이정운 옮김",서울미디어코믹스(서울문화사),20220628,"6,000","5,400",300점,5963,만화
63,국내도서,예의 없는 친구들을 대하는 슬기로운 말하기 사전,286210310 ,9791160948929 ,73180,"김원아 지음, 김소희 그림",사계절,20220113,"13,000","11,700",650점,12905,어린이
64,국내도서,코스모스,870950 ,9788983711892 ,3400,"칼 세이건 지음, 홍승수 옮김",사이언스북스,20061220,"19,900","17,910",990점,140244,과학
65,국내도서,백년 허리 2 : 치료편,271247686 ,9791197437311 ,3510,정선근 지음,언탱글링,20210513,"18,500","16,650",920점,42493,건강/취미
66,국내도서,시맨틱 에러 포토에세이,290368510 ,9791192186313 ,3810,왓챠.래몽래인 지음,blackD(블랙디),20220320,"22,000","19,800","1,100점",9915,에세이
67,국내도서,감정 어휘,294993774 ,9791190710411 ,3180,유선경 지음,앤의서재,20220610,"16,000","14,400",800점,9072,인문학
